,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000223972,3.516,6.774,11.658,26.974,13.926,15.847,9.463,12.657,1.051,18.341
ENSG00000227232,243.783,324.163,203.174,622.843,343.967,422.824,336.45,193.742,100.898,93.742
ENSG00000278267,4.688,6.774,3.331,8.991,2.785,3.602,10.514,0.974,1.051,0
ENSG00000243485,0,0,0,1.635,1.393,0.72,6.308,0,0,1.019
ENSG00000238009,17.58,19.353,5.829,10.626,6.963,11.525,10.514,14.604,2.102,1.019
ENSG00000268903,97.279,32.9,68.28,44.956,128.117,49.702,112.501,56.468,14.714,15.284
ENSG00000269981,41.021,9.677,10.825,14.713,54.311,10.084,32.594,10.709,0,4.076
ENSG00000239906,8.204,0.968,0,3.27,5.57,2.881,5.257,2.921,0,0
ENSG00000241860,75.01,23.224,16.654,31.06,57.096,22.33,80.958,22.392,8.408,5.095
ENSG00000279928,4.688,6.774,7.494,13.895,5.57,7.923,0,12.657,1.051,10.189
ENSG00000279457,544.995,855.403,429.663,1511.334,717.178,971.702,733.882,445.9,238.582,221.108
ENSG00000273874,2.344,0.968,1.665,7.356,5.57,2.161,7.36,2.921,1.051,1.019
ENSG00000228463,66.806,43.544,19.152,36.782,58.488,37.456,53.622,8.762,18.918,3.057
ENSG00000236679,24.613,8.709,27.478,17.982,27.852,16.567,16.823,6.815,5.255,19.36
ENSG00000236743,4.688,3.871,0.833,0,16.711,1.441,3.154,0,0,0
ENSG00000236601,0,1.935,1.665,0,4.178,0.72,1.051,0,1.051,0
ENSG00000237094,103.139,34.835,29.144,34.33,116.977,21.609,52.57,37.97,13.663,15.284
ENSG00000250575,125.407,44.512,61.618,45.773,150.398,76.353,125.117,60.362,23.122,19.36
ENSG00000230021,17.58,3.871,3.331,9.809,12.533,0.72,8.411,3.894,5.255,5.095
ENSG00000235146,0,0,2.498,0,0,0,0,0,0,0
ENSG00000225972,10398.27,21607.647,27426.79,24854.041,33122.461,4179.977,20607.587,11536.92,13066.286,9738.946
ENSG00000225630,24138.004,36052.741,36295.657,54022.209,65197.704,3917.063,37581.51,30033.961,25330.644,21520.85
ENSG00000276171,2191.7,3342.267,1701.996,1184.382,4858.704,1184.195,4690.329,1341.593,4760.072,4397.708
ENSG00000237973,70099.248,101009.217,223245.476,164501.599,142783.778,39181.43,174791.244,148959.644,250953.203,134157.601
ENSG00000278791,14.064,26.127,49.128,9.809,52.918,10.805,22.08,30.181,54.653,50.947
ENSG00000229344,15561.072,16047.524,46441.854,56934.53,35052.574,9817.867,28415.34,38112.725,44086.104,36112.966
ENSG00000240409,37.505,26.127,29.976,15.53,47.348,2.161,22.08,26.287,25.224,21.398
ENSG00000248527,40248.759,33961.647,82838.265,74911.145,88262.968,11429.208,45339.847,57455.807,46306.91,39608.92
ENSG00000198744,18089.145,22764.957,61847.253,63143.341,32096.131,10450.302,68138.567,36768.212,80228.595,49102.304
ENSG00000228327,386.771,173.21,171.532,237.857,522.217,188.722,382.712,219.055,88.286,64.193
ENSG00000237491,66.806,46.447,95.758,37.599,61.273,29.533,55.725,80.807,34.684,35.663
ENSG00000230092,22.269,26.127,34.14,21.252,19.496,21.609,10.514,8.762,11.561,13.246
ENSG00000177757,0,1.935,0,0.817,0,2.881,1.051,0.974,0,0
ENSG00000228794,757.133,105.474,115.742,165.111,348.144,246.347,48.365,110.988,100.898,104.95
ENSG00000225880,31.645,11.612,16.654,17.165,34.814,18.728,24.182,12.657,15.765,7.133
ENSG00000230368,4.688,5.806,5.829,8.991,5.57,5.763,5.257,5.841,1.051,5.095
ENSG00000234711,7.032,8.709,1.665,13.078,4.178,10.805,8.411,3.894,8.408,13.246
ENSG00000272438,0,0,2.498,0,1.393,2.161,0,0,0,0
ENSG00000230699,1.172,1.935,4.163,0,2.785,5.042,0,0,0,1.019
ENSG00000223764,5.86,19.353,1.665,0,4.178,33.134,0,0.974,0,7.133
ENSG00000187634,16.408,57.091,14.156,1.635,20.889,153.427,9.463,0,3.153,13.246
ENSG00000188976,4192.359,3879.313,4619.705,5243.486,4850.348,7815.397,1111.338,2865.245,1486.143,3143.403
ENSG00000187961,421.932,101.603,537.911,603.226,494.365,385.368,173.482,136.301,42.041,34.644
ENSG00000187583,406.695,94.83,236.481,13.895,531.965,35.295,62.033,18.498,7.357,9.17
ENSG00000187642,15.236,2.903,4.163,4.087,12.533,41.058,1.051,0,0,0
ENSG00000272512,23.441,9.677,4.996,57.217,110.014,25.931,7.36,58.415,12.612,73.363
ENSG00000188290,424.276,65.8,256.465,390.707,917.709,223.297,56.776,374.828,170.265,459.538
ENSG00000187608,455.921,3868.669,657.817,961.238,1130.773,9574.402,276.52,15498.415,602.235,988.363
ENSG00000231702,11.72,15.482,15.821,10.626,15.318,13.686,22.08,15.577,31.531,45.852
ENSG00000224969,0,1.935,0,1.635,0,2.881,0,3.894,0,0
ENSG00000188157,26668.421,26131.415,14319.585,8820.336,22286.814,11843.388,9222.947,7427.44,5684.97,8386.824
ENSG00000217801,94.935,58.059,8.327,107.894,171.287,247.788,116.706,23.366,39.939,83.552
ENSG00000273443,9.376,0,2.498,0,1.393,3.602,7.36,1.947,0,0
ENSG00000237330,105.483,59.027,35.805,235.405,291.049,275.16,58.879,35.049,72.52,155.897
ENSG00000131591,934.11,690.903,880.975,945.707,1200.402,1239.659,323.834,564.676,193.388,470.746
ENSG00000223823,0,0.968,0,0.817,0,0,4.206,8.762,1.051,7.133
ENSG00000207730,15.236,0.968,2.498,45.773,12.533,2.881,1.051,0.974,1.051,3.057
ENSG00000207607,19.925,2.903,1.665,95.633,4.178,5.763,1.051,6.815,2.102,2.038
ENSG00000198976,18.753,1.935,8.327,80.921,9.748,10.805,13.668,12.657,4.204,5.095
ENSG00000272141,118.375,51.286,118.24,1079.758,164.324,146.224,100.935,241.448,36.786,47.89
ENSG00000162571,3.516,46.447,4.163,80.103,4.178,25.931,41.005,91.516,0,33.625
ENSG00000186891,4.688,5.806,1620.394,33.513,20.889,309.014,170.328,68.151,30.48,3270.77
ENSG00000186827,1.172,14.515,4.163,0,9.748,13.686,0,3.894,0,4.076
ENSG00000078808,5835.548,5883.318,6256.752,3828.603,6421.176,8012.042,2793.59,3857.323,2943.908,6032.074
ENSG00000176022,703.219,1194.081,1349.773,1961.709,995.693,2552.79,618.228,1533.388,917.541,1993.03
ENSG00000184163,28.129,46.447,28.311,42.504,36.207,116.691,22.08,17.524,2.102,126.347
ENSG00000260179,8.204,6.774,3.331,4.087,18.104,3.602,1.051,2.921,0,0
ENSG00000160087,2140.131,3231.954,3946.9,2501.997,2347.886,3913.461,700.237,1832.277,1035.255,1638.442
ENSG00000230415,3.516,16.45,10.825,16.348,4.178,9.364,21.028,4.868,3.153,3.057
ENSG00000162572,23.441,416.09,99.089,75.199,29.244,109.488,215.539,77.886,4.204,18.341
ENSG00000131584,1087.646,1597.592,1568.768,1407.527,1693.375,1781.334,482.596,689.294,244.888,499.276
ENSG00000169972,629.381,870.886,1443.033,490.427,845.295,1661.042,178.739,498.473,174.469,429.989
ENSG00000127054,2917.188,3459.352,2321.51,3621.806,3474.481,4274.338,1254.329,1920.873,685.265,1499.867
ENSG00000240731,33.989,16.45,22.482,64.573,44.562,19.448,12.617,13.63,2.102,0
ENSG00000224051,2048.712,1605.333,1632.884,890.943,2286.613,2283.392,253.389,1521.705,706.286,1058.67
ENSG00000169962,12.892,6.774,48.295,17.982,20.889,49.702,3.154,244.369,6.306,37.7
ENSG00000107404,3775.116,3577.406,3642.972,2511.805,5130.256,3315.601,1155.497,2486.523,636.918,2137.718
ENSG00000162576,19.925,10.644,14.988,120.155,30.637,177.917,6.308,172.324,1.051,190.54
ENSG00000175756,2656.997,3478.705,4415.698,3955.297,3266.987,7073.474,1084.001,2798.068,2047.388,4182.713
ENSG00000223663,0,0.968,0,0,4.178,0,0,0,0,0
ENSG00000221978,5011.61,4522.801,2791.141,7783.9,5153.93,3242.85,2506.556,4014.069,626.408,689.817
ENSG00000224870,656.338,643.488,762.734,706.215,690.719,776.498,329.091,722.396,316.357,719.366
ENSG00000242485,2489.396,2740.388,3198.321,2752.115,2448.152,5059.479,806.43,2432.002,1649.051,2071.488
ENSG00000272455,38.677,78.38,59.12,147.946,61.273,257.152,63.084,78.86,44.143,49.928
ENSG00000235098,8.204,1040.225,82.435,36.782,32.029,208.891,78.856,145.063,34.684,443.235
ENSG00000225905,1.172,19.353,0.833,4.087,1.393,2.161,1.051,2.921,1.051,5.095
ENSG00000205116,0,41.609,0,0.817,0,5.763,23.131,6.815,1.051,15.284
ENSG00000225285,41.021,138.374,151.548,4.904,54.311,15.127,168.225,32.128,1.051,71.325
ENSG00000179403,8278.064,9118.175,5704.686,501.053,7716.273,4485.39,1752.696,832.411,380.469,2615.597
ENSG00000215915,175.805,498.34,235.648,108.711,233.953,313.336,161.917,200.557,28.378,88.647
ENSG00000160072,1516.61,1353.744,1422.216,2043.447,1973.283,2263.944,507.83,1715.447,425.663,631.737
ENSG00000197785,1325.568,1716.613,3269.931,1586.533,1644.634,3079.338,450.002,1746.602,520.255,1545.719
ENSG00000205090,41.021,20.321,3.331,17.165,52.918,35.295,25.234,102.226,3.153,44.833
ENSG00000160075,4420.906,5338.531,8053.674,3206.578,5140.004,6033.342,2070.221,5704.204,3091.051,5886.367
ENSG00000215014,5.86,33.868,10.825,18.8,13.926,15.847,22.08,49.653,7.357,8.151
ENSG00000228594,656.338,382.222,2909.381,965.325,522.217,1099.918,811.687,1076.779,778.806,2799.005
ENSG00000272106,148.848,188.692,184.855,296.709,153.184,220.416,172.431,233.659,124.02,132.461
ENSG00000197530,1114.603,1599.527,1038.351,1617.593,1641.849,1799.342,933.65,1220.869,530.765,1173.809
ENSG00000189409,391.459,123.859,24.148,67.025,382.959,254.271,71.496,33.102,8.408,64.193
ENSG00000248333,1724.059,1261.817,1392.24,2092.49,1840.988,2508.13,618.228,1184.847,676.857,867.111
ENSG00000272004,10.548,9.677,3.331,35.147,18.104,23.05,3.154,8.762,6.306,4.076
ENSG00000189339,1332.601,2141.412,1946.804,2265.774,1531.835,2058.655,1291.128,2447.579,1305.367,1090.257
ENSG00000269737,0,0.968,0,2.452,0,0,0,3.894,1.051,2.038
ENSG00000215914,87.902,42.577,3.331,15.53,84.947,79.234,24.182,17.524,1.051,18.341
ENSG00000008128,114.859,56.124,46.63,171.65,122.547,99.403,43.108,46.732,37.837,22.416
ENSG00000268575,32.817,74.509,35.805,154.485,33.422,110.208,54.673,101.252,33.633,58.079
ENSG00000227775,5.86,5.806,4.996,8.174,9.748,15.127,2.103,5.841,0,3.057
ENSG00000215790,145.332,145.148,173.197,179.006,123.939,126.775,79.907,144.09,103,70.306
ENSG00000008130,2696.846,2243.015,3614.661,8180.328,3066.456,4170.613,745.448,3603.219,1139.306,1964.5
ENSG00000078369,19999.558,16307.822,14740.088,11760.448,20012.734,16449.79,5991.971,12793.811,8131.745,14780.619
ENSG00000231050,19.925,4.838,20.817,4.904,15.318,2.881,8.411,15.577,12.612,10.189
ENSG00000169885,8.204,12.579,1.665,56.399,36.207,6.483,22.08,23.366,0,2.038
ENSG00000178821,67.978,51.286,64.949,389.072,64.059,182.239,46.262,90.543,34.684,132.461
ENSG00000142609,0,8.709,1.665,2.452,0,73.472,48.365,62.309,7.357,47.89
ENSG00000233542,0,0,0,0.817,0,0,3.154,0,0,0
ENSG00000187730,2.344,0.968,0,0.817,0,5.042,2.103,3.894,1.051,3.057
ENSG00000226969,0,1.935,0,0,2.785,0,2.103,1.947,0,4.076
ENSG00000067606,944.658,987.004,798.539,726.65,1205.972,1604.137,373.25,491.658,421.459,873.224
ENSG00000182873,38.677,31.932,13.323,10.626,43.17,25.211,25.234,34.075,15.765,15.284
ENSG00000162585,1768.597,1527.921,1667.024,1933.101,2255.976,2151.575,790.658,1076.779,1065.735,1457.072
ENSG00000157933,2374.537,2232.371,1794.424,1548.116,2615.261,1215.888,714.957,1869.273,1364.225,1852.417
ENSG00000116151,263.707,403.51,96.591,251.753,293.834,307.574,302.805,302.783,137.684,239.449
ENSG00000272161,0,0.968,0,0,0,0.72,2.103,11.683,0,5.095
ENSG00000269896,82.042,41.609,7.494,54.764,118.369,23.05,79.907,255.078,40.99,62.155
ENSG00000272420,7.032,13.547,6.661,9.809,13.926,9.364,11.565,22.392,4.204,8.151
ENSG00000157916,4683.441,4707.622,3154.189,4337.013,4928.333,6444.641,1456.199,4508.648,2289.123,3183.142
ENSG00000157911,1382.998,1169.89,1432.208,1102.644,1395.363,1539.309,580.377,1024.206,800.878,1059.689
ENSG00000149527,19.925,334.807,3.331,15.53,20.889,13.686,110.398,3.894,2.102,1.019
ENSG00000229393,0,0,2.498,0,0,0,0,0,0,0
ENSG00000157881,914.185,588.332,539.576,761.797,970.627,816.115,343.81,368.987,254.347,507.428
ENSG00000197921,2.344,0,0,4.087,5.57,0,0,0,2.102,2.038
ENSG00000272449,31.645,25.159,52.459,87.46,54.311,66.269,29.439,24.339,77.776,85.59
ENSG00000238164,65.634,139.342,0,13.895,176.857,66.269,0,15.577,63.061,31.587
ENSG00000157873,3223.089,1840.472,78.272,757.71,3818.448,1148.899,99.884,525.733,371.01,264.922
ENSG00000225931,3.516,6.774,0,2.452,20.889,0.72,0,0,7.357,0
ENSG00000228037,0,4.838,0.833,0,0,5.763,4.206,0,0,1.019
ENSG00000157870,2662.857,3375.167,588.704,1883.241,3051.138,1879.297,693.929,430.322,757.786,1039.31
ENSG00000142606,399.663,1072.157,14.988,19.617,513.861,126.055,185.048,15.577,35.735,71.325
ENSG00000237058,0,2.903,0,0,0,0,0,0,1.051,0
ENSG00000215912,126.579,40.641,9.992,51.495,91.91,25.211,34.696,50.626,4.204,8.151
ENSG00000142611,2.344,9.677,3.331,3.27,2.785,18.008,14.72,6.815,4.204,3.057
ENSG00000130762,1958.466,1039.257,794.376,1175.391,2054.052,2330.213,268.109,462.45,184.98,571.621
ENSG00000272088,0,18.385,2.498,2.452,2.785,20.169,6.308,3.894,1.051,2.038
ENSG00000162591,1827.198,1413.738,342.231,2716.968,2048.482,364.478,1006.197,320.308,341.582,979.193
ENSG00000238260,2.344,2.903,1.665,2.452,19.496,7.923,5.257,10.709,1.051,2.038
ENSG00000158109,2882.027,3038.424,1811.077,1975.605,2987.079,3836.387,798.018,1684.293,789.316,1283.854
ENSG00000116213,704.391,632.844,888.469,1345.406,864.791,1341.943,303.857,616.276,400.439,759.104
ENSG00000078900,14.064,49.35,7.494,5.722,13.926,30.253,140.889,50.626,55.704,189.521
ENSG00000227372,886.056,705.418,686.128,365.368,1137.736,1056.699,542.526,722.396,314.255,374.967
ENSG00000235169,51.569,101.603,94.925,8.991,52.918,205.289,49.416,14.604,28.378,47.89
ENSG00000130764,2010.035,2577.822,1955.964,2937.66,2310.286,4021.508,999.889,2315.173,1402.061,1765.808
ENSG00000266075,0,2.903,2.498,0,0,0.72,2.103,0,1.051,1.019
ENSG00000272153,0,3.871,4.163,0,0,5.763,4.206,6.815,2.102,2.038
ENSG00000116198,1340.805,1074.093,854.329,1400.17,1519.302,1863.45,483.647,1037.836,538.122,611.359
ENSG00000169598,99.623,237.074,277.282,403.785,144.828,306.133,133.529,139.222,105.102,153.859
ENSG00000198912,642.274,728.641,846.835,871.326,735.281,847.088,445.797,791.52,478.214,603.207
ENSG00000236423,2.344,9.677,33.307,10.626,12.533,15.127,9.463,17.524,10.51,15.284
ENSG00000196581,1692.415,207.077,0,967.777,792.377,238.424,24.182,0,0,0
ENSG00000131697,672.746,490.599,369.71,532.931,614.127,410.578,322.782,388.458,147.143,394.326
ENSG00000069424,83.214,327.066,44.132,87.46,96.088,483.33,134.58,53.547,30.48,90.685
ENSG00000116254,14.064,2.903,0.833,22.887,5.57,50.422,22.08,0.974,0,3.057
ENSG00000116251,10702.998,12655.907,18537.939,7590.998,8926.423,11038.078,12246.795,12281.708,9729.296,16700.285
ENSG00000226944,23.441,47.415,54.957,33.513,18.104,10.805,6.308,0.974,3.153,7.133
ENSG00000158286,1155.624,923.139,943.426,250.935,1354.978,143.342,258.646,220.029,31.531,16.303
ENSG00000116237,5190.931,3549.344,2789.476,3929.958,3771.1,5026.345,1053.51,5519.223,2673.796,5754.924
ENSG00000225077,48.053,16.45,14.156,9.809,37.6,41.058,3.154,30.181,1.051,64.193
ENSG00000158292,198.073,1019.904,125.735,324.499,221.42,723.915,244.978,157.72,407.796,534.939
ENSG00000097021,1068.893,843.792,660.315,1230.155,1219.898,1293.682,350.119,801.256,402.541,1284.872
ENSG00000271746,14.064,10.644,3.331,7.356,6.963,6.483,5.257,5.841,3.153,5.095
ENSG00000069812,185.181,77.412,109.081,3477.13,245.094,901.832,413.203,131.433,788.265,1531.454
ENSG00000187017,553.199,1182.47,1511.313,4312.491,917.709,2358.305,1194.399,364.119,1961.204,6360.17
ENSG00000215788,684.467,278.683,223.158,583.609,1051.396,226.899,485.75,485.816,45.194,125.329
ENSG00000171680,1404.095,979.263,533.747,848.439,1664.13,602.182,754.911,473.16,340.531,327.077
ENSG00000162408,1381.826,1085.704,1171.58,1190.104,1239.394,1600.536,480.493,1426.294,696.827,961.871
ENSG00000173662,3.516,8.709,1.665,4.087,1.393,0,6.308,4.868,2.102,0
ENSG00000204859,564.92,513.823,388.029,806.753,711.607,607.944,252.338,412.798,188.133,273.074
ENSG00000162413,1153.28,234.172,1517.974,863.97,1827.062,1781.334,369.044,1538.256,320.561,804.956
ENSG00000116273,1071.237,956.039,1210.716,1084.662,857.828,1168.348,803.275,2231.445,729.408,1920.686
ENSG00000041988,392.631,243.848,449.647,503.505,456.765,506.38,192.408,330.044,167.112,297.528
ENSG00000007923,2239.754,2178.182,2353.152,2819.957,2106.97,4329.082,1040.893,1549.939,650.582,934.36
ENSG00000237436,3.516,11.612,4.996,21.252,5.57,13.686,11.565,8.762,4.204,8.151
ENSG00000171735,1068.893,1185.372,1581.258,1235.877,778.451,1723.709,926.29,1036.862,692.622,1693.464
ENSG00000237402,0,0.968,0,1.635,1.393,2.161,3.154,0,0,1.019
ENSG00000270171,1.172,0,0,4.904,0,12.245,18.925,0,2.102,0
ENSG00000270035,1.172,3.871,0,13.895,0,8.644,10.514,0.974,2.102,0
ENSG00000269978,4.688,0,0,44.138,0,13.686,22.08,3.894,2.102,1.019
ENSG00000049245,3076.585,3385.811,2552.162,2223.271,3092.915,3505.764,1715.897,1652.165,1371.582,1897.25
ENSG00000269925,14.064,13.547,6.661,8.991,8.355,14.406,4.206,4.868,8.408,2.038
ENSG00000049246,709.079,1128.281,425.499,634.286,618.305,641.799,488.904,319.334,104.051,91.704
ENSG00000049247,0,0,0,0,0,2.161,0,0,0,1.019
ENSG00000049249,3.516,36.771,0,0,0,11.525,22.08,0,60.959,5.095
ENSG00000116288,3704.794,5043.397,6434.945,4695.842,3567.784,6980.554,2437.163,4674.156,3703.796,6531.35
ENSG00000116285,6677.068,4451.195,3850.309,1740.2,6901.615,1910.991,5513.581,1853.696,2335.367,3528.559
ENSG00000238290,2.344,1.935,1.665,1.635,0,2.881,9.463,0.974,3.153,1.019
ENSG00000232848,240.267,223.527,325.578,216.605,182.428,334.225,353.273,368.013,515,708.157
ENSG00000227634,1.172,0.968,4.163,0,0,0,1.051,0,0,4.076
ENSG00000162426,63.29,25.159,29.144,49.043,61.273,51.863,23.131,24.339,12.612,93.742
ENSG00000142599,3510.237,4544.089,2103.348,8307.84,3587.28,3679.359,2044.988,6353.581,3053.214,6521.161
ENSG00000280851,0,0,0,0,2.785,0,0,0.974,0,3.057
ENSG00000234619,73.838,90.959,175.695,68.66,73.807,82.836,252.338,212.24,328.969,363.759
ENSG00000224315,18.753,17.418,31.642,19.617,18.104,22.33,75.701,48.679,96.694,118.196
ENSG00000228423,3.516,0,0,0,0,0.72,1.051,0,1.051,0
ENSG00000074800,82121.954,64119.458,38983.545,48848.2,65939.947,70502.084,35920.287,28715.734,16260.337,66895.902
ENSG00000236269,12.892,11.612,6.661,3.27,20.889,3.602,4.206,10.709,2.102,3.057
ENSG00000230679,2.344,6.774,10.825,12.261,6.963,7.923,1.051,6.815,3.153,8.151
ENSG00000238249,142.988,211.916,139.89,357.195,143.436,239.144,91.472,361.198,200.745,463.614
ENSG00000232208,8.204,13.547,8.327,22.887,11.141,20.889,13.668,41.864,4.204,28.53
ENSG00000131686,0,0,0,0,0,15.127,1.051,0,0,0
ENSG00000142583,77.354,64.833,6.661,26.974,108.621,12.245,7.36,12.657,0,5.095
ENSG00000180758,138.3,142.245,1726.144,1533.403,211.672,1039.412,549.886,862.592,155.551,590.98
ENSG00000228526,44.537,4.838,69.112,101.355,37.6,28.092,99.884,239.501,5.255,6.114
ENSG00000234546,7.032,3.871,10.825,9.809,20.889,14.406,34.696,33.102,2.102,17.322
ENSG00000049239,2605.428,5860.094,1637.88,1788.425,2528.921,4176.375,2848.263,2933.396,2707.429,2337.429
ENSG00000171621,1305.644,3154.542,1220.708,773.24,1207.365,3849.353,714.957,1242.288,747.276,520.674
ENSG00000235263,0,0,0,0,0,0,0,0,0,8.151
ENSG00000171612,710.252,504.146,1547.951,1216.26,657.297,1808.706,194.51,1913.084,251.194,1655.764
ENSG00000231181,55.086,94.83,133.229,66.208,52.918,79.234,80.958,62.309,86.184,106.988
ENSG00000188807,1009.12,790.571,1037.518,1338.049,1212.935,1431.982,293.343,1219.895,562.296,1270.607
ENSG00000171608,389.115,98.7,149.882,202.71,427.521,175.036,156.66,47.705,95.643,183.408
ENSG00000231789,9.376,18.385,106.583,107.077,8.355,116.691,46.262,34.075,9.459,98.836
ENSG00000171603,20180.051,6317.793,19400.594,4844.605,17905.764,6392.779,3943.83,4963.309,2356.388,5685.637
ENSG00000178585,1728.748,1256.011,421.336,930.995,1689.197,1169.788,589.84,1901.401,750.429,1441.788
ENSG00000223989,3.516,0,0,0,0,0,1.051,1.947,0,1.019
ENSG00000162441,1228.29,763.477,777.722,1043.793,997.086,1326.817,576.171,874.275,566.5,799.861
ENSG00000228150,4.688,1.935,11.658,11.443,5.57,5.042,0,4.868,4.204,1.019
ENSG00000173614,366.846,293.198,204.839,227.231,324.471,448.755,376.404,280.391,162.908,185.446
ENSG00000202415,15.236,4.838,10.825,2.452,4.178,8.644,4.206,3.894,0,3.057
ENSG00000162444,10.548,4.838,2.498,192.901,11.141,412.019,13.668,277.47,43.092,528.825
ENSG00000130939,2508.149,1887.887,3633.812,2126.003,2171.029,2693.251,1164.96,2325.882,927,1689.388
ENSG00000233623,3.516,0,0,0.817,5.57,0.72,0,4.868,1.051,0
ENSG00000054523,2497.601,2076.579,3062.594,1868.528,2255.976,3318.482,1255.381,3168.028,1201.316,1828.982
ENSG00000142657,3603.999,3003.589,5689.697,6705.777,3517.651,8514.101,2066.016,7789.611,5708.092,9752.192
ENSG00000271989,1.172,8.709,1.665,12.261,0,3.602,1.051,2.921,1.051,1.019
ENSG00000175279,66.806,49.35,69.945,122.607,55.703,162.07,41.005,105.147,48.347,123.291
ENSG00000241563,2.344,1.935,1.665,10.626,4.178,2.881,4.206,6.815,2.102,2.038
ENSG00000160049,2049.884,1723.386,2746.176,2282.122,2166.851,3397.717,1507.718,2050.359,1109.878,2159.116
ENSG00000142655,884.884,1093.446,627.007,727.467,856.435,1289.36,315.422,600.699,450.888,634.794
ENSG00000130940,590.704,1233.755,140.723,595.869,643.371,550.319,242.875,255.078,260.653,353.569
ENSG00000272078,0,0.968,0,0,4.178,0.72,1.051,0.974,0,0
ENSG00000175262,0,0,0,0.817,0,2.161,4.206,5.841,0,2.038
ENSG00000120948,1990.111,2654.267,3338.211,3040.65,2044.304,2625.541,2120.689,4001.413,3718.51,3303.376
ENSG00000009724,0,0,3.331,0,9.748,1.441,1.051,0.974,1.051,0
ENSG00000271895,39.849,23.224,9.992,30.243,65.451,24.491,28.388,26.287,5.255,7.133
ENSG00000116649,1166.172,1914.981,3822.831,1216.26,2049.874,1496.811,604.559,1679.425,773.551,2274.255
ENSG00000171824,3203.164,2202.374,2166.631,2049.169,3031.642,2437.539,825.355,1796.255,538.122,1104.522
ENSG00000226849,7.032,8.709,5.829,5.722,20.889,9.364,8.411,16.551,2.102,6.114
ENSG00000230337,14.064,21.288,22.482,53.13,27.852,54.744,7.36,79.834,10.51,54.003
ENSG00000198793,3840.75,2610.722,1941.808,3381.497,2899.347,4709.407,1359.47,2973.312,1238.102,1865.663
ENSG00000238173,0,0,0,0,2.785,1.441,2.103,0,2.102,3.057
ENSG00000120942,778.229,775.088,567.055,590.148,853.65,970.262,284.931,1205.292,444.582,696.949
ENSG00000238199,3.516,0.968,4.996,2.452,0,2.161,3.154,5.841,4.204,7.133
ENSG00000204624,0,0,0.833,6.539,0,10.805,9.463,6.815,5.255,9.17
ENSG00000235643,3.516,0,3.331,0,2.785,1.441,0,0,2.102,0
ENSG00000116661,628.209,772.185,2881.903,2185.671,609.949,2222.886,357.479,932.689,131.378,711.214
ENSG00000132879,1113.431,650.261,1119.121,1019.272,1296.49,917.679,610.868,367.04,142.939,229.26
ENSG00000116663,255.503,258.363,102.42,194.536,380.174,510.702,130.375,427.401,119.816,154.878
ENSG00000116670,945.83,760.574,1261.509,2452.137,1166.98,1566.681,779.093,761.339,493.98,1598.703
ENSG00000162490,0,3.871,0.833,318.778,0,15.127,48.365,3.894,7.357,15.284
ENSG00000177674,1822.51,1604.365,1164.086,1747.556,2016.453,2853.88,1222.787,1388.325,843.969,1796.376
ENSG00000215910,9.376,83.218,12.49,40.052,13.926,28.813,65.187,2.921,0,4.076
ENSG00000177000,1030.216,1566.627,487.95,1125.531,1041.648,2075.222,877.925,688.321,306.898,411.648
ENSG00000011021,414.899,372.546,276.45,653.086,388.529,623.791,331.193,329.07,121.918,143.669
ENSG00000242349,7.032,1.935,1.665,5.722,15.318,6.483,0,20.445,8.408,4.076
ENSG00000175206,0,0,0,0,0,2.161,0,0,0,0
ENSG00000224904,1.172,0.968,2.498,0,0,1.441,1.051,0,0,1.019
ENSG00000199347,0,2.903,0,0,0,0.72,0,0,0,0
ENSG00000116685,2128.411,4011.881,1980.111,2618.882,2503.855,3994.136,1091.361,2014.336,1724.725,3177.028
ENSG00000083444,10045.488,5452.713,2577.142,3750.952,7648.037,4862.834,4137.289,5023.671,2844.061,8031.217
ENSG00000116688,4667.032,4044.781,3652.964,3636.519,4137.348,6677.302,1342.647,3278.043,1259.122,2293.615
ENSG00000116691,645.79,1323.747,671.139,1168.035,912.138,1138.815,461.568,809.045,417.255,662.305
ENSG00000120949,2.344,71.606,0,0.817,13.926,38.177,0,2.921,7.357,4.076
ENSG00000028137,195.729,170.307,0.833,521.488,265.982,293.167,89.37,43.811,728.357,503.352
ENSG00000048707,2819.91,1699.195,952.585,1033.167,2636.15,1519.861,1122.903,1451.607,835.561,6925.677
ENSG00000280999,4.688,0,0,0,2.785,2.881,0,0,1.051,2.038
ENSG00000239149,2.344,0,1.665,2.452,5.57,7.923,1.051,1.947,2.102,7.133
ENSG00000229484,0,0,0,0,2.785,5.763,0,3.894,0,2.038
ENSG00000162496,5349.155,6069.107,120.738,863.97,6184.438,5331.037,639.256,2385.27,2813.582,5174.134
ENSG00000221340,18.753,4.838,4.163,1.635,11.141,3.602,1.051,4.868,0,4.076
ENSG00000276830,5.86,2.903,0,0,1.393,0,0,0.974,0,0
ENSG00000272482,80.87,16.45,3.331,3.27,71.021,28.092,2.103,5.841,4.204,84.571
ENSG00000204518,3.516,0,0,0,0,2.161,0,0,0,12.227
ENSG00000157330,0,14.515,0,0,1.393,0,17.874,3.894,3.153,0
ENSG00000116726,0,0,0,1.635,0,5.042,0,0,0,0
